1,в,в,ADP,_,_,_,_,_,@saa1999m-words#@saa1999m#0.2#0.471
2,цниимаше,цниимаш,PROPN,_,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,_,_,_,@saa1999m-words#@saa1999m#0.471#0.742
3,/,/,PUNCT,_,_,_,_,_,@saa1999m-words#@saa1999m#0.742#1.013
4,когда,когда,SCONJ,_,_,_,_,_,@saa1999m-words#@saa1999m#1.013#1.284
5,мы,мы,PRON,_,Case=Nom|Number=Plur|Person=1,_,_,_,@saa1999m-words#@saa1999m#1.284#1.555
6,были,быть,AUX,_,Aspect=Imp|Mood=Ind|Number=Plur|Tense=Past|VerbForm=Fin|Voice=Act,_,_,_,@saa1999m-words#@saa1999m#1.555#1.826
7,на,на,ADP,_,_,_,_,_,@saa1999m-words#@saa1999m#1.826#2.097
8,практике,практика,NOUN,_,Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing,_,_,_,@saa1999m-words#@saa1999m#2.097#2.368
9,/,/,PUNCT,_,_,_,_,_,@saa1999m-words#@saa1999m#2.368#2.639
10,там,там,ADV,_,Degree=Pos,_,_,_,@saa1999m-words#@saa1999m#2.639#2.91
11,/,/,PUNCT,_,_,_,_,_,@saa1999m-words#@saa1999m#2.91#3.181
12,в,в,ADP,_,_,_,_,_,@saa1999m-words#@saa1999m#3.181#3.452
13,столовой,столовая,NOUN,_,Animacy=Inan|Case=Loc|Gender=Fem|Number=Sing,_,_,_,@saa1999m-words#@saa1999m#3.452#3.723
14,был,быть,VERB,_,Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,_,_,_,@saa1999m-words#@saa1999m#3.723#3.994
15,банкомат,банкомат,NOUN,_,Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing,_,_,_,@saa1999m-words#@saa1999m#3.994#4.265
16,сбера,сбер,PROPN,_,Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing,_,_,_,@saa1999m-words#@saa1999m#4.265#4.536
17,который,который,PRON,_,Case=Acc,_,_,_,@saa1999m-words#@saa1999m#4.536#4.807
18,не,не,PART,_,_,_,_,_,@saa1999m-words#@saa1999m#4.807#5.078
19,работал,работать,VERB,_,Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,_,_,_,@saa1999m-words#@saa1999m#5.078#5.35
20,и,и,CCONJ,_,_,_,_,_,@saa1999m-words#@saa1999m#6.16#6.44
21,/,/,PUNCT,_,_,_,_,_,@saa1999m-words#@saa1999m#6.44#6.72
22,банкомат,банкомат,NOUN,_,Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing,_,_,_,@saa1999m-words#@saa1999m#6.72#7.0
23,какой-то,какой-то,DET,_,Case=Nom|Gender=Masc|Number=Sing,_,_,_,@saa1999m-words#@saa1999m#7.0#7.28
24,их,их,PRON,_,Case=Gen|Number=Plur|Person=3,_,_,_,@saa1999m-words#@saa1999m#7.28#7.56
25,местный,местный,ADJ,_,Case=Nom|Degree=Pos|Gender=Masc|Number=Sing,_,_,_,@saa1999m-words#@saa1999m#7.56#7.84
26,/,/,PUNCT,_,_,_,_,_,@saa1999m-words#@saa1999m#7.84#8.12
27,который,который,PRON,_,Case=Nom,_,_,_,@saa1999m-words#@saa1999m#8.12#8.4
28,брал,брать,VERB,_,Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,_,_,_,@saa1999m-words#@saa1999m#8.4#8.68
29,там,там,ADV,_,Degree=Pos,_,_,_,@saa1999m-words#@saa1999m#8.68#8.96
30,/,/,PUNCT,_,_,_,_,_,@saa1999m-words#@saa1999m#8.96#9.24
31,с,с,ADP,_,_,_,_,_,@saa1999m-words#@saa1999m#9.24#9.52
32,обычных,обычный,ADJ,_,Case=Gen|Degree=Pos|Number=Plur,_,_,_,@saa1999m-words#@saa1999m#9.52#9.8
33,карт,карта,NOUN,_,Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur,_,_,_,@saa1999m-words#@saa1999m#9.8#10.09
34,не,не,PART,_,_,_,_,_,@saa1999m-words#@saa1999m#10.1#10.31
35,их,их,PRON,_,Case=Gen|Number=Plur|Person=3,_,_,_,@saa1999m-words#@saa1999m#10.31#10.52
36,комиссию,комиссия,NOUN,_,Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing,_,_,_,@saa1999m-words#@saa1999m#10.66#11.047
37,минимум,минимум,NOUN,_,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,_,_,_,@saa1999m-words#@saa1999m#11.047#11.434
38,сто,сто,NUM,_,Case=Nom,_,_,_,@saa1999m-words#@saa1999m#11.434#11.821
39,рублей,рубль,NOUN,_,Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur,_,_,_,@saa1999m-words#@saa1999m#11.821#12.21
40,да,да,PART,_,_,_,_,_,@saa1999m-words#@saa1999m#16.13#16.388
41,/,/,PUNCT,_,_,_,_,_,@saa1999m-words#@saa1999m#16.388#16.646
42,типо,типо,ADP,_,_,_,_,_,@saa1999m-words#@saa1999m#16.646#16.904
43,тебе,ты,PRON,_,Case=Dat|Number=Sing|Person=2,_,_,_,@saa1999m-words#@saa1999m#16.904#17.162
44,просто,просто,ADV,_,Degree=Pos,_,_,_,@saa1999m-words#@saa1999m#17.162#17.42
45,снимают,снимать,VERB,_,Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act,_,_,_,@saa1999m-words#@saa1999m#17.42#17.68
46,ну,ну,PART,_,_,_,_,_,@saa1999m-words#@saa1999m#17.78#18.102
47,/,/,PUNCT,_,_,_,_,_,@saa1999m-words#@saa1999m#18.102#18.424
48,ноль,ноль,NOUN,_,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,_,_,_,@saa1999m-words#@saa1999m#18.424#18.746
49,просто,просто,PART,_,_,_,_,_,@saa1999m-words#@saa1999m#18.746#19.07
50,ээ,э,INTJ,_,_,_,_,_,@saa1999m-words#@saa1999m#19.98#20.228
51,/,/,PUNCT,_,_,_,_,_,@saa1999m-words#@saa1999m#20.228#20.476
52,вот,вот,PART,_,_,_,_,_,@saa1999m-words#@saa1999m#20.476#20.724
53,/,/,PUNCT,_,_,_,_,_,@saa1999m-words#@saa1999m#20.724#20.972
54,и,и,CCONJ,_,_,_,_,_,@saa1999m-words#@saa1999m#20.972#21.22
55,там,там,ADV,_,Degree=Pos,_,_,_,@saa1999m-words#@saa1999m#21.22#21.468
56,на,на,ADP,_,_,_,_,_,@saa1999m-words#@saa1999m#21.468#21.716
57,боку,бок,NOUN,_,Animacy=Inan|Case=Loc|Gender=Masc|Number=Sing,_,_,_,@saa1999m-words#@saa1999m#21.716#21.964
58,был,быть,AUX,_,Aspect=Imp|Gender=Masc|Mood=Ind|Number=Sing|Tense=Past|VerbForm=Fin|Voice=Act,_,_,_,@saa1999m-words#@saa1999m#21.964#22.212
59,наклеен,наклеить,VERB,_,Aspect=Perf|Gender=Masc|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass,_,_,_,@saa1999m-words#@saa1999m#22.212#22.46
60,прото...,прото…,X,_,_,_,_,_,@saa1999m-words#@saa1999m#22.46#22.708
61,/,/,PUNCT,_,_,_,_,_,@saa1999m-words#@saa1999m#22.708#22.956
62,ну,ну,PART,_,_,_,_,_,@saa1999m-words#@saa1999m#22.956#23.204
63,/,/,PUNCT,_,_,_,_,_,@saa1999m-words#@saa1999m#23.204#23.452
64,принт,принт,NOUN,_,Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing,_,_,_,@saa1999m-words#@saa1999m#23.452#23.7
65,протона,протон,NOUN,_,Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing,_,_,_,@saa1999m-words#@saa1999m#23.7#23.96
66,с,с,ADP,_,_,_,_,_,@saa1999m-words#@saa1999m#24.67#25.17
67,американским,американский,ADJ,_,Case=Ins|Degree=Pos|Gender=Masc|Number=Sing,_,_,_,@saa1999m-words#@saa1999m#25.17#25.67
68,флагом,флаг,NOUN,_,Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing,_,_,_,@saa1999m-words#@saa1999m#25.67#26.17
69,интересно,интересно,ADV,_,Degree=Pos,_,_,_,@amf2000f-words#@amf2000f#6.04#6.69
70,ага,ага,INTJ,_,_,_,_,_,@amf2000f-words#@amf2000f#10.52#11.01
71,а,а,CCONJ,_,_,_,_,_,@amf2000f-words#@amf2000f#14.6#14.851
72,если,если,SCONJ,_,_,_,_,_,@amf2000f-words#@amf2000f#14.851#15.102
73,хочешь,хотеть,VERB,_,Aspect=Imp|Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin|Voice=Act,_,_,_,@amf2000f-words#@amf2000f#15.102#15.353
74,снять,снять,VERB,_,Aspect=Perf|VerbForm=Inf|Voice=Act,_,_,_,@amf2000f-words#@amf2000f#15.353#15.604
75,сто,сто,NUM,_,Case=Acc,_,_,_,@amf2000f-words#@amf2000f#15.604#15.855
76,рублей,рубль,NOUN,_,Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur,_,_,_,@amf2000f-words#@amf2000f#15.855#16.11
77,прикольно,прикольно,ADV,_,Degree=Pos,_,_,_,@amf2000f-words#@amf2000f#27.57#28.29
